Switzerland;United Kingdom;39830.150
France;Austria;1864.000
Portugal;Italy;238.750
United Kingdom;Germany;43148.000
Italy;Greece;991.138
Belgium;United Kingdom;4593.000
Spain;Sweden;419.631
France;Belgium;12803.000
Belgium;Sweden;333.000
Belgium;Switzerland;184.000
Germany;Greece;3658.000
Switzerland;Germany;22094.931
France;Sweden;7751.000
France;Germany;20360.000
Italy;United Kingdom;16393.614
United Kingdom;Portugal;709.000
France;Spain;20554.000
Switzerland;Spain;2803.089
Greece;France;345.000
Sweden;United Kingdom;5370.866
Italy;Germany;27698.328
Austria;Switzerland;966.209
Greece;United Kingdom;4864.000
Germany;Switzerland;14527.000
United Kingdom;Spain;10883.000
Greece;Italy;56.000
Italy;Spain;6873.069
Austria;Italy;705.115
Austria;Spain;1199.491
Spain;Austria;2587.666
Germany;Portugal;964.000
Portugal;Belgium;339.912
United Kingdom;Austria;1751.000
Sweden;Spain;119.712
Germany;France;52161.000
Belgium;Austria;109.000
Spain;Italy;9968.643
Portugal;Sweden;301.852
Spain;Belgium;3269.091
Sweden;Germany;1504.299
United Kingdom;Belgium;2735.000
Sweden;Portugal;1.774
Spain;France;24664.991
Greece;Germany;2911.000
Spain;Germany;8594.770
Greece;Belgium;202.000
France;Switzerland;9551.000
Sweden;Belgium;71.508
Greece;Switzerland;243.000
Italy;Switzerland;2272.610
Austria;Greece;1.560
Portugal;Greece;0.065
United Kingdom;Sweden;1897.000
Austria;Sweden;873.577
Spain;Greece;1.204
Austria;Germany;6915.573
Germany;Belgium;4844.000
Austria;Portugal;12.397
Germany;Austria;12854.000
Belgium;Portugal;181.000
Spain;United Kingdom;28573.552
Italy;Belgium;1406.546
Switzerland;Austria;2112.958
Italy;Portugal;939.833
Greece;Austria;30.000
Belgium;Germany;4385.000
Austria;France;4891.548
Portugal;Switzerland;168.662
Portugal;Spain;1943.111
Sweden;Austria;178.988
United Kingdom;Switzerland;5761.000
Belgium;Spain;1474.000
Germany;United Kingdom;72184.000
France;Italy;24679.000
Greece;Spain;98.000
Switzerland;Italy;2302.745
Italy;Austria;5666.141
Germany;Sweden;17650.000
United Kingdom;Greece;7351.000
Greece;Sweden;65.000
Portugal;Germany;680.390
Belgium;France;4859.000
Austria;Belgium;651.207
Portugal;United Kingdom;1091.680
Germany;Italy;6535.000
United Kingdom;France;62254.000
Spain;Portugal;4611.871
Belgium;Italy;463.000
Portugal;France;487.519
Sweden;Switzerland;192.492
Spain;Switzerland;534.605
United Kingdom;Italy;5549.000
France;Portugal;1229.000
Sweden;Greece;NaN
Austria;United Kingdom;3098.172
Italy;Sweden;709.105
Sweden;Italy;12.231
Switzerland;France;17162.145
France;United Kingdom;91991.000
Portugal;Austria;115.158
Sweden;France;487.814
France;Greece;1518.000
Italy;France;25134.276
Germany;Spain;9426.000
